Hole_ID,From,To,Lithology
DH034,11.0,11.5,BRK
DH035,0.0,1.0,SOIL
DH035,1.0,2.0,LIMO
DH035,2.0,3.0,LIMO
DH035,3.0,4.0,LIMO
DH035,4.0,5.0,LIMO
DH035,5.0,6.0,LIMO
DH035,6.0,7.0,LIMO
DH035,7.0,8.0,LIMO
DH035,8.0,9.0,LIMO
DH035,9.0,9.7,SAP
DH035,9.7,10.0,SAP
DH035,10.0,10.5,SAP
DH035,10.5,11.0,SAP
DH035,11.0,12.0,RSAP
DH035,12.0,12.3,RSAP
DH035,12.3,12.7,SAP
DH035,12.7,13.0,RSAP
DH035,13.0,13.3,RSAP
DH035,13.3,14.0,SAP
DH035,14.0,14.3,RSAP
DH035,14.3,15.0,RSAP
DH035,15.0,15.5,RSAP
DH035,15.5,16.0,SAP
DH035,16.0,17.0,SAP
DH035,17.0,18.0,SROC
DH035,18.0,18.6,SROC
DH035,18.6,19.0,SAP
DH035,19.0,20.0,SAP
DH035,20.0,21.0,SAP
DH035,21.0,22.0,BRK
DH035,22.0,22.5,BRK
DH036,0.0,1.0,SOIL
DH036,1.0,2.0,LIMO
DH036,2.0,3.0,LIMO
DH036,3.0,4.0,LIMO
DH036,4.0,5.0,LIMO
DH036,5.0,6.0,LIMO
DH036,6.0,7.0,LIMO
DH036,7.0,7.3,SROC
DH036,7.3,8.0,BLD
DH036,8.0,9.0,SAP
DH036,9.0,10.0,SAP
DH036,10.0,11.0,SAP
DH036,11.0,12.0,SAP
DH036,12.0,13.0,RSAP
DH036,13.0,14.0,BRK
DH036,14.0,15.0,BRK
DH037,0.0,1.0,SOIL
DH037,1.0,1.5,LIMO
DH037,1.5,2.0,LIMO
DH037,2.0,3.0,SAP
DH037,3.0,4.0,BLD
DH037,4.0,4.65,SAP
DH037,4.65,5.0,RSAP
DH037,5.0,6.0,SROC
DH038,0.0,1.0,SOIL
DH038,1.0,2.0,LIMO
DH038,2.0,3.0,LIMO
DH038,3.0,4.0,LIMO
DH038,4.0,5.0,SAP
DH038,5.0,6.0,SAP
DH038,6.0,6.35,SAP
DH038,6.35,7.0,BLD
DH038,7.0,7.65,BLD
DH038,7.65,8.0,SAP
DH038,8.0,8.5,BLD
DH038,8.5,9.0,RSAP
DH038,9.0,10.0,SROC
DH038,10.0,11.0,BRK
DH038,11.0,11.5,BRK
DH039,0.0,1.0,SOIL
DH039,1.0,2.0,LIMO
DH039,2.0,3.0,LIMO
DH039,3.0,4.0,LIMO
DH039,4.0,5.0,LIMO
DH039,5.0,6.0,SAP
DH039,6.0,7.0,RSAP
DH039,7.0,8.0,SROC
DH039,8.0,9.0,BRK
